商品コード,商品コメント1,商品コメント2,商品コメント3,商品コメント4,商品コメント5,商品コメント6,商品コメント7,商品コメント8,商品コメント9,購入時メッセージ
10098,"<span class=""itemComment"">ブリーフィングは米国の本物の軍需工場の手により生産される、ミリタリー・スペック（米軍仕様）のバッグです。<br />ミル・スペックに準拠したへヴィディーティな素材やパーツ、そして機能が、タウンユースに必要な機能とデザインに見事に昇華されています。<br />バリスティック・ナイロンとよばれる素材はミリタリーファクトリーが使用している中で最もヘヴィーで極めて耐摩耗性が強い素材です。<br />縫製はSecure Tack（商標）です。Secure Tack（商標）は縫い目のほころびをさけるためにファクトリーが開発したもので、業界で最高級の複合綴じのパターンを使用している事を意味します。<br />軍規格機器が安全に使用できるように、縫製に対してもミリタリー規格があり、ブリーフィングのファクトリーでは当然これらの規格をパスしています。<br /><br />流線形のデザインが体によくなじむショルダーバッグ。<br />財布やペットボトルが入ります。<br />ポケットなどの付属は極力シンプルにし、お求めやすい価格設定になっています。
</span>",,,,,,,,,
10099,"<span class=""itemComment"">ブリーフィングは米国の本物の軍需工場の手により生産される、ミリタリー・スペック（米軍仕様）のバッグです。<br />ミル・スペックに準拠したへヴィディーティな素材やパーツ、そして機能が、タウンユースに必要な機能とデザインに見事に昇華されています。<br /><br />手提げ、ショルダーの基本2ウェイに、ショルダーの紐を取り外し短くする事で肩掛けとして持つことができる3ウェイショルダーバッグ。<br />バリスティックナイロンの裏地を張らないことで軽量化しています。
</span>",,,,,,,,,
10102,"<span class=""itemComment"">SQトートバッグはスポーツイベントや小旅行にも使える大きめのトートバッグです。<br />ハンドルは肩がけできる長さに作られているので、両手が空き、ショッピングなどにも便利です。<br />メインの荷室はファスナーの蓋がついているので安心です。<br />外側前後のポケットもボタンで閉められ、中身が出にくい構造です。<br />ボタンを外せばすぐに読みたい雑誌など、簡単に出し入れできます。<br />ブリーフィングは米国の本物の軍需工場の手により生産される、ミリタリー・スペック（米軍仕様）のバッグです。<br />ミル・スペックに準拠したへヴィディーティな素材やパーツ、そして機能が、タウンユースに必要な機能とデザインに見事に昇華されています。</span>",,,,,,,,,
10106,"<span class=""itemComment"">ブリーフィング・ゴルフシリーズの「フェアウェイポーチ」。<br />内側に取り外し可能で、ボールが5個入るゴルフボールケースが付いています。<br />ゴルフボールケースは背面のフック、またはボタン付きのストラップを使用してベルトやゴルフバッグなどに取り付け可能。<br />本体は財布や携帯などを入れ、プレー中はカートに載せておき、ランチや休憩などカートを離れる時は片手で持てるポシェットとして携帯可能です。
</span>",,,,,,,,,
10107,"<span class=""itemComment"">ブリーフィング・ゴルフシリーズの「クラブボストン」。<br />シューズ入れ、大小たくさんのポケット、ペン挿しなどがついています。<br />各種ポケットを使用し、スコアカード、ペン、携帯などを使い勝手良く収納できます。メインの荷室は大容量で、靴から着替え、タオルまで全てがこの一つで持ち運び可能です。<br />ゴルフ用にフォーカスした結果、ボストンバッグとしても洗練された機能のボストンバッグになりました。<br />靴も収納できるボストンバッグとして、ゴルフ以外の旅行でも便利なボストンバッグです。
</span>",,,,,,,,,
10110,"<span class=""itemComment"">ブリーフィング・ゴルフシリーズの「ボールホルダー」。<br />ゴルフボールが3つ入り、ピンが2本挿せます。<br />背面のフック、またはボタン付きのストラップを使用してベルトやゴルフバッグなどに取り付け可能。
</span>",,,,,,,,,
10111,"<span class=""itemComment"">ブリーフィングは米国の本物の軍需工場の手により生産される、ミリタリー・スペック（米軍仕様）のバッグです。<br />ミル・スペックに準拠したへヴィディーティな素材やパーツ、そして機能が、タウンユースに必要な機能とデザインに見事に昇華されています。<br /><br />ショルダーストラップ用アタッチパッドは、ブリーフィングのバッグを快適に担ぐための商品です。<br />機能性が高いブリーフィングのバッグには、たくさんの荷物を入れがち。<br />そんな時にこのパッドを付けると、肩への負担も半減。<br />マジックテープ式で装着も簡単です。
</span>",,,,,,,,,
10114,"<span class=""itemComment"">ブリーフィングは米国の本物の軍需工場の手により生産される、ミリタリー・スペック（米軍仕様）のバッグです。<br />ミル・スペックに準拠したへヴィディーティな素材やパーツ、そして機能が、タウンユースに必要な機能とデザインに見事に昇華されています。<br />バリスティック・ナイロンとよばれる素材はミリタリーファクトリーが使用している中で最もヘヴィーで極めて耐摩耗性が強い素材です。<br />縫製はSecure Tack（商標）です。Secure Tack（商標）は縫い目のほころびをさけるためにファクトリーが開発したもので、業界で最高級の複合綴じのパターンを使用している事を意味します。<br />軍規格機器が安全に使用できるように、縫製に対してもミリタリー規格があり、ブリーフィングのファクトリーでは当然これらの規格をパスしています。<br /><br />ブリーフケース SL ライナーは、ブリーフィングを代表する定番のブリーフケース、B4ライナーのマチを薄くしたモデルです。<br />B4ライナーの機能をそのままに、ブリーフ、ショルダーの2ウェイで使用が可能。<br />ポケットなどの収納機能が多く付いているため、書類や小物を使い勝手良く収納できます。<br />
</span>",,,,,,,,,
10115,"<span class=""itemComment"">ブリーフィングの大型スーツケース、D1。<br />ブリーフィング史上、最大容量のアイテムは、海外出張や家族旅行のお供に最適。<br />底板は可倒式で使わない時は倒し、本体を薄くたたむことができます。<br />収納場所を取らないブリーフィングならではの気の利いた設計です。<br />荷室の口はファスナーで大きく開き、開いた部分の裏側と荷室には２つずつメッシュポケットがあります。<br />ハンドルはファスナー式のカバーがあり、使わない時はスッキリ収納できます。<br />本体上部にはポケットがあり、すぐに取り出したいチケットや冊子を入れておくのに便利。<br />ブリーフィングの「B4 オーバートリップ」や「フラットライナー」を使うと背面のベルトをハンドルに装着でき、両手に荷物を持つことなく、快適に移動できます。<br />縫製、組み立てといった生産はもちろん、全てのパーツも米国製にこだわってつくられた屈強なスーツケースです。
</span>",,,"<p>ブリーフィングの大型スーツケース、D1。<br />ブリーフィング史上、最大容量のアイテムは、海外出張や家族旅行のお供に最適。<br />底板は可倒式で使わない時は倒し、本体を薄くたたむことができます。<br />収納場所を取らないブリーフィングならではの気の利いた設計です。<br />荷室の口はファスナーで大きく開き、開いた部分の裏側と荷室には２つずつメッシュポケットがあります。<br />ハンドルはファスナー式のカバーがあり、使わない時はスッキリ収納できます。<br />本体上部にはポケットがあり、すぐに取り出したいチケットや冊子を入れておくのに便利。<br />ブリーフィングの「B4 オーバートリップ」や「フラットライナー」を使うと背面のベルトをハンドルに装着でき、両手に荷物を持つことなく、快適に移動できます。<br />縫製、組み立てといった生産はもちろん、全てのパーツも米国製にこだわってつくられた屈強なスーツケースです。</p><ul class=""link1""><li><a href=""http://blog.glober.jp/?p=1312"">ブランド</a></li></ul>

<table class=""stripeTable"">
<tr>
<th scope=""row"">商品コード</th>
<td>101151211</td>
</tr>

<tr>
<th scope=""row"">カラー</th>
<td>モス</td>
</tr>

<tr>
<th scope=""row"">サイズ</th>
<td>モス</td>
</tr>

<tr>
<th>カラー :</th>
<td>モス</td>
</tr>
<tr>
<th>サイズ :</th>
<td>幅×高さ×マチ 約38×70×33cm<br>（ハンドルを伸ばした際の高さ 98cm）</td>
</tr>
<tr>
<th>素材 :</th>
<td>バリスティックナイロン</td>
</tr>
<tr>
<th>原産国 :</th>
<td>米国</td>
</tr>
<tr>
<th>仕様 :</th>
<td>上部ポケット：キーホルダー1<br>荷室：ファスナーポケット4</td>
</tr>
<tr>
<th>ギフト :</th>
<td>GLOBERオリジナルパッケージ</td>
</tr>


</table>

<div style='margin-top:3px;text-align:right;'><a href='http://glober.jp/info/size.aspx#bag' target='_blank'>サイズの測り方について<img src='http://glober.jp/img/common/parts/icon_externallink.gif' width='10' height='12' /></a></div>


",,,,,,
10117,"<span class=""itemComment"">ブリーフィングの使い勝手の良い小銭入れ。<br />小銭だけでなく、お札も畳んでしまうことが出来ます。<br />内部にはキーリングが付いているので、家や車の鍵など、重要な鍵を失くさない様取り付けられて、便利です。<br />本体外側にはポケットが付いおり、定期などをしのばせることもできます。
</span>",,,,,,,,,
